18
102	231
242	132
15.7126	15.155	1.62307	0.809023	2.67596	4.54819	2.64918	4.99244	4.20169	11.6641	3.76055	7.38239	2.48098	1.85611	8.37524	11.4164	3.76578	5.80915	
189	30
333	66
140	350
198	170
226	160
343	142
278	196
300	1
161	327
160	205
109	337
7	164
88	152
298	215
222	271
49	52
300	165
260	224
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	
10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	
