35
989	369
871	1047
92	1014	17.9614
109	1205	21.4874
418	607	20.353
578	598	22.839
133	184	11.0571
485	742	5.66486
32	652	35.0105
873	79	13.4267
184	754	13.0446
1094	1049	13.7155
894	474	4.5635
944	617	17.461
175	1100	21.8475
764	846	12.5533
456	723	6.66869
786	97	10.9748
1125	413	19.4868
554	794	10.2822
69	233	15.0837
906	445	3.39618
36	942	17.2607
817	1033	8.54277
259	184	6.50506
1113	215	32.0689
977	81	14.9308
232	229	7.93017
944	849	31.8027
1107	756	20.9052
771	1118	18.5351
691	838	13.8798
307	726	22.5701
1210	982	21.862
823	426	11.3721
632	243	25.3132
445	495	22.0945
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
