16
279	117
118	260
2.45722	31.2659	10.0775	8.93564	2.3225	13.0413	4.4535	2.01377	27.1898	13.7579	40.1354	2.88867	19.3309	28.0663	12.9717	6.17141	
57	246
314	71
237	262
158	16
86	293
275	278
120	253
141	16
9	255
91	155
318	209
214	259
118	98
162	169
109	298
212	273
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	
10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	10000000	
