33
300	950
695	803
707	494	30.3213
112	1016	7.08416
794	134	10.9851
659	212	14.3087
817	1058	18.0051
147	81	25.08
690	801	0.857379
22	639	46.3993
150	1072	10.009
835	357	35.1709
726	129	7.86707
895	935	16.2933
28	315	32.3488
874	772	18.6139
336	70	34.1125
1039	241	38.8341
936	1048	23.2345
333	683	7.42106
374	648	6.36279
756	917	5.1413
32	946	13.8773
292	690	7.40966
178	376	17.3667
624	55	7.08487
1028	792	28.766
320	930	3.53397
740	1000	11.7382
763	942	4.51465
794	907	4.8395
39	1070	12.1924
410	722	10.8438
677	31	10.9833
187	950	13.8483
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
