34
86	898
1002	488
383	1124	25.2066
646	1114	32.7592
1136	424	30.455
729	683	18.132
568	382	31.5934
398	228	26.5661
4	580	2.83904
312	475	8.33044
1105	254	35.4586
775	308	40.2418
190	1112	39.0608
50	494	28.7377
908	432	13.0711
208	469	29.1788
263	261	12.2834
230	584	23.4829
36	771	31.4911
589	51	51.3739
925	736	57.5264
885	190	41.7502
682	445	32.7996
556	516	29.2451
351	462	11.2271
955	451	13.724
498	264	30.252
573	1029	22.2019
389	1021	20.7632
227	84	52.6042
236	941	46.3285
990	1086	85.2422
315	261	11.3293
8	592	3.63178
676	628	19.2363
479	1017	26.7225
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
