27
138	74
193	230
66	62	14.1583
680	74	7.52789
178	395	23.5158
566	125	12.482
616	462	3.13646
476	457	5.86297
381	405	12.4819
32	195	7.24742
513	512	10.9085
698	280	3.22851
446	477	4.544
640	653	1.73197
696	251	3.0867
412	262	21.1098
87	150	11.9196
725	22	7.47595
398	569	8.09068
568	189	7.91829
307	437	9.81195
408	715	15.4725
511	678	12.4739
634	644	1.08653
225	615	26.65
404	510	7.60736
610	482	2.74306
114	709	24.7776
719	330	7.25394
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
