35
124	1132
271	898
401	1040	12.1633
196	933	30.7302
681	554	5.58264
1141	1023	21.859
363	865	31.936
208	255	51.8231
138	1076	17.9002
818	530	43.8941
952	1059	17.6787
243	1134	39.5476
860	792	58.1221
778	1039	55.8959
681	671	44.4974
414	948	32.5231
934	1014	18.459
1098	516	49.7456
894	89	12.3226
114	709	92.8904
1058	645	41.1976
703	315	70.557
641	138	55.4195
895	55	11.9236
664	559	6.77905
1098	137	80.2342
18	1113	35.836
1190	1065	22.0474
104	75	79.7365
506	35	51.1743
1206	695	51.5408
50	279	51.6755
387	692	69.6506
392	1078	13.9032
538	571	44.4145
1017	884	60.2867
970	345	76.6953
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
