35
124	874
48	1013
267	153	12.977
331	541	13.7101
422	809	11.0921
1212	1159	11.9504
238	269	5.30113
405	464	15.1275
545	776	15.1628
562	954	17.0003
110	14	39.3122
418	656	8.93644
353	694	9.24811
1079	1209	7.18025
187	1027	12.6667
886	424	12.5773
335	802	16.3373
627	865	19.2
270	276	6.54827
1134	347	38.7171
473	402	17.814
1182	952	16.8864
325	922	21.7198
1124	887	14.7834
869	344	14.4294
879	1007	10.5104
1104	1153	7.37845
1023	1142	7.78737
221	1113	3.52729
476	836	0.578544
475	831	0.968187
55	253	32.3108
242	1123	3.91582
996	1213	13.4705
1221	539	34.5355
816	1026	10.5185
968	843	21.9902
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
