29
46	227
157	413
783	714	61.8995
479	699	41.2135
308	679	53.5694
424	391	18.102
631	804	44.2273
79	301	12.2043
220	461	24.7292
557	305	44.0329
95	412	19.3461
63	362	21.5396
696	446	6.16712
41	308	11.8451
711	441	5.41947
282	5	47.8839
772	403	10.6427
785	435	10.9249
689	88	20.6267
393	82	52.4091
588	415	38.6439
77	50	63.4636
165	810	51.6998
721	46	15.6389
595	694	45.2773
247	164	53.7473
107	656	60.1358
748	76	12.8729
791	273	43.2014
481	398	17.7989
197	387	18.4211
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
