33
514	155
729	907
158	1033	4.85021
245	393	30.0379
467	44	23.5265
1086	311	11.3138
208	891	16.8495
386	621	13.2763
56	855	6.80155
777	1019	5.0761
1075	1037	12.9407
805	1034	3.8444
58	986	13.4329
219	1006	7.56148
878	766	18.7784
168	1066	5.74583
360	1008	25.829
1015	293	9.78681
166	608	23.7004
308	129	10.8909
62	35	2.77066
45	53	4.76518
607	875	21.7601
382	136	9.82049
1072	618	39.661
995	1059	14.6598
760	50	34.1549
505	566	22.1
612	509	15.4368
492	868	16.3286
519	763	16.0283
663	320	25.6918
762	799	17.7999
72	887	6.62101
453	685	12.9382
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
