33
216	235
1081	108
733	270	26.0007
873	840	19.1862
644	277	19.3623
779	826	4.69065
1085	847	46.4538
175	886	45.2117
9	507	30.3513
932	235	19.9083
16	657	44.5623
1081	1045	53.9933
892	167	23.2203
604	676	12.542
561	580	27.7957
371	933	4.32926
97	23	9.51004
784	110	25.0566
102	243	25.4529
1059	357	39.5551
202	529	38.9099
419	432	45.0185
958	76	23.5875
347	984	11.6286
566	721	14.2026
60	12	8.43901
675	358	11.2847
381	81	62.5605
743	960	39.0322
798	815	5.76341
353	924	4.28616
666	401	12.9211
570	977	43.0907
95	387	38.0326
3	1063	57.5133
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
