33
689	442
159	129
604	283	25.5191
246	1000	31.8791
916	705	38.3532
143	946	12.7875
137	778	32.5354
263	418	22.2181
231	597	30.8909
420	1036	42.7348
143	664	25.2181
497	343	29.9296
106	894	15.9046
488	719	5.98453
978	991	17.607
482	901	13.2745
277	817	32.4565
503	738	6.7266
81	72	13.8079
552	195	23.6895
26	53	15.5597
423	889	16.2279
293	215	23.6539
655	721	39.4557
329	133	22.9986
829	599	21.7045
703	1040	53.0391
1067	641	23.6045
824	363	46.8145
152	516	24.2793
835	521	18.7311
965	1059	17.5857
477	225	17.5065
1056	548	25.3549
193	345	27.7784
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
