0	24.713	19.576
21	22.379	17.97
21	21.379	16.97
12	20.442	16.285
12	19.442	17.285
18	17.929	20.803
18	16.929	21.803
10	14.4841	23.0761
10	13.0699	23.0761
16	11.9781	23.8039
16	10.5639	23.8039
7	9.849	22.765
7	8.849	21.765
17	7.53611	19.2521
17	6.12189	19.2521
6	7.608	23.614
6	6.608	24.614
9	4.102	24.222
9	3.102	23.222
13	2.364	22.17
13	1.364	21.17
14	0.810893	18.7571
14	0.810893	17.3429
20	1.53611	13.5541
20	1.53611	12.1399
19	3.69989	8.01011
19	3.69989	6.59589
3	2.798	5.174
3	3.798	4.174
4	7.507	5.655
4	8.507	6.655
5	8.43711	9.80989
5	8.43711	11.2241
8	11.5229	13.4929
8	12.9371	13.4929
1	13.8619	11.8531
1	13.8619	10.4389
22	15.056	7.539
22	16.056	6.539
15	18.019	3.56
15	19.019	2.56
11	20.5169	1.03211
11	21.9311	1.03211
2	22.3359	10.6579
2	22.3359	12.0721
23	21	13.603
